x,y,z
31.92,-12.33,-3.42
29.24,-13.67,-2.26
23.19,-15.20,-1.04
17.52,-14.95,0.06
14.04,-13.92,0.73
9.28,-12.94,0.73
7.81,-12.51,0.43
11.17,-13.24,0.37
12.57,-14.16,-0.06
12.33,-13.79,-0.61
13.49,-13.55,-1.10
14.10,-14.28,-1.10
11.60,-15.01,-0.92
9.40,-14.22,-1.04
9.64,-13.61,-1.10
7.57,-12.21,-0.79
6.77,-10.31,-0.67
7.32,-8.85,-0.18
5.00,-7.45,0.55
2.75,-6.10,0.73
0.92,-7.08,0.67
0.73,-8.24,0.18
1.16,-8.61,-0.55
1.59,-9.34,-0.61
2.87,-9.77,-0.24
2.26,-10.01,0.92
-0.79,-9.70,2.08
-1.77,-8.18,2.01
-1.10,-6.77,0.49
-2.01,-7.14,-0.98
-4.27,-9.22,-1.53
-4.33,-10.38,-2.01
-4.03,-10.13,-1.89
-2.38,-9.70,-1.53
1.04,-8.91,-1.59
3.60,-7.81,-1.71
5.62,-7.87,-1.34
8.54,-6.65,-1.71
12.21,-6.29,-2.26
13.85,-7.26,-2.62
10.62,-9.03,-2.62
5.86,-10.31,-2.20
3.36,-10.86,-1.53
3.23,-10.19,-1.28
4.39,-8.79,-0.79
6.10,-7.20,0.00
8.42,-5.43,0.12
9.89,-4.94,-0.49
12.33,-6.53,-1.28
15.32,-7.87,-1.83
17.21,-7.69,-1.95
18.80,-7.26,-1.77
19.17,-7.32,-1.89
19.71,-7.08,-2.20
18.55,-7.08,-1.83
16.36,-7.32,-1.77
13.79,-7.51,-2.14
10.07,-8.30,-2.50
8.73,-9.95,-2.99
8.42,-11.54,-3.60
8.06,-12.70,-3.72
8.18,-12.39,-3.48
9.28,-12.02,-3.23
10.56,-11.29,-2.81
10.31,-10.44,-2.38
8.12,-10.93,-2.20
4.39,-13.49,-1.83
1.46,-15.50,-1.65
0.12,-15.63,-1.46
-1.34,-15.75,-1.71
-2.69,-15.44,-2.38
-1.10,-14.83,-2.75
3.66,-15.14,-3.30
8.24,-14.28,-4.70
11.41,-13.49,-5.74
11.47,-12.63,-5.86
10.56,-11.60,-4.82
9.95,-10.74,-3.78
8.85,-9.95,-2.93
6.90,-8.91,-2.56
5.13,-8.42,-2.26
2.69,-8.30,-2.01
-0.92,-8.85,-1.83
-3.05,-9.70,-1.89
-3.54,-10.13,-2.01
-2.62,-11.11,-2.69
-0.55,-11.29,-3.78
1.83,-10.13,-4.09
4.33,-8.36,-3.91
6.96,-7.20,-3.85
10.74,-5.80,-3.78
12.57,-4.03,-3.78
11.54,-3.05,-3.66
9.40,-2.87,-3.48
7.57,-2.56,-3.05
5.07,-2.44,-2.56
2.81,-2.69,-2.44
2.01,-2.38,-2.50
2.44,-1.59,-3.17
2.01,-1.83,-4.27
1.53,-3.05,-5.92
4.52,-4.46,-7.45
6.96,-5.92,-8.85
8.24,-6.41,-10.80
12.39,-5.55,-12.27
15.38,-4.03,-12.63
16.42,-3.23,-11.96
17.46,-2.32,-11.11
17.03,-1.28,-10.50
14.59,-1.53,-9.40
10.01,-2.81,-7.32
5.25,-3.60,-5.55
2.38,-3.78,-4.46
3.30,-3.05,-4.33
4.46,-2.81,-4.21
5.92,-2.32,-4.33
6.59,-1.65,-4.21
8.67,-0.92,-4.82
14.47,-0.31,-6.04
21.67,0.67,-7.69
27.59,2.56,-8.12
28.69,3.66,-7.45
25.21,3.42,-6.16
19.41,2.69,-4.70
14.95,2.20,-3.30
12.63,2.69,-2.20
10.80,3.30,-1.22
9.22,2.75,-0.37
7.45,1.71,0.55
5.55,0.61,1.53
4.94,-0.18,2.20
4.76,-1.22,2.32
5.31,-1.83,2.56
5.43,-1.71,3.05
4.76,-1.95,3.54
2.50,-2.44,4.27
0.67,-2.08,5.13
-1.65,-2.32,6.04
-5.19,-2.87,6.65
-7.32,-3.54,7.20
-8.00,-3.60,7.63
-9.58,-3.97,8.48
